File Name,Date Modified,Date Created,Date Last Opened,Kind,Size,Files,Path,Parent Folder,Location
node-gyp-build-optional-packages,2026-09-06 17:28:08 +0000,2026-09-06 17:28:08 +0000,,Symbolic Link,2 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/.bin/node-gyp-build-optional-packages,.bin,/Users/pq/aikagan-web/.opencode/node_modules/.bin
node-gyp-build-optional-packages-optional,2026-09-06 17:28:08 +0000,2026-09-06 17:28:08 +0000,,Symbolic Link,143 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/.bin/node-gyp-build-optional-packages-optional,.bin,/Users/pq/aikagan-web/.opencode/node_modules/.bin
node-gyp-build-optional-packages-test,2026-09-06 17:28:08 +0000,2026-09-06 17:28:08 +0000,,Symbolic Link,398 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/.bin/node-gyp-build-optional-packages-test,.bin,/Users/pq/aikagan-web/.opencode/node_modules/.bin
node-which,2026-09-06 17:28:08 +0000,2026-09-06 17:28:08 +0000,,Symbolic Link,985 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/.bin/node-which,.bin,/Users/pq/aikagan-web/.opencode/node_modules/.bin
uuid,2026-09-06 17:28:08 +0000,2026-09-06 17:28:08 +0000,,Symbolic Link,45 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/.bin/uuid,.bin,/Users/pq/aikagan-web/.opencode/node_modules/.bin
yaml,2026-09-06 17:28:08 +0000,2026-09-06 17:28:08 +0000,,Symbolic Link,310 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/.bin/yaml,.bin,/Users/pq/aikagan-web/.opencode/node_modules/.bin
@msgpackr-extract,2026-09-06 17:28:03 +0000,2026-09-06 17:28:03 +0000,,Folder,1 byte,0,/Users/pq/aikagan-web/.opencode/node_modules/@msgpackr-extract,node_modules,/Users/pq/aikagan-web/.opencode/node_modules/@msgpackr-extract
msgpackr-extract-darwin-arm64,2026-09-06 17:28:04 +0000,2026-09-06 17:28:03 +0000,,Folder,4 bytes,0,/Users/pq/aikagan-web/.opencode/node_modules/@msgpackr-extract/msgpackr-extract-darwin-arm64,@msgpackr-extract,/Users/pq/aikagan-web/.opencode/node_modules/@msgpackr-extract/msgpackr-extract-darwin-arm64
README.md,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Markdown Text,82 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@msgpackr-extract/msgpackr-extract-darwin-arm64/README.md,msgpackr-extract-darwin-arm64,/Users/pq/aikagan-web/.opencode/node_modules/@msgpackr-extract/msgpackr-extract-darwin-arm64
index.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,Zero KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@msgpackr-extract/msgpackr-extract-darwin-arm64/index.js,msgpackr-extract-darwin-arm64,/Users/pq/aikagan-web/.opencode/node_modules/@msgpackr-extract/msgpackr-extract-darwin-arm64
node.napi.glibc.node,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,,53 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@msgpackr-extract/msgpackr-extract-darwin-arm64/node.napi.glibc.node,msgpackr-extract-darwin-arm64,/Users/pq/aikagan-web/.opencode/node_modules/@msgpackr-extract/msgpackr-extract-darwin-arm64
package.json,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Json,386 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@msgpackr-extract/msgpackr-extract-darwin-arm64/package.json,msgpackr-extract-darwin-arm64,/Users/pq/aikagan-web/.opencode/node_modules/@msgpackr-extract/msgpackr-extract-darwin-arm64
@opencode-ai,2026-09-07 00:12:03 +0000,2026-09-06 17:28:03 +0000,,Folder,3 bytes,0,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai,node_modules,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai
.DS_Store,2026-09-07 00:12:03 +0000,2026-09-07 00:12:03 +0000,,,6 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/.DS_Store,@opencode-ai,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai
plugin,2026-09-06 17:28:04 +0000,2026-09-06 17:28:03 +0000,,Folder,2 bytes,0,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin,@opencode-ai,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin
package.json,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Json,1 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/package.json,plugin,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin
dist,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Folder,12 bytes,0,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist,plugin,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist
example-workspace.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,141 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist/example-workspace.d.ts,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist
example-workspace.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,938 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist/example-workspace.js,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist
example.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,81 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist/example.d.ts,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist
example.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,440 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist/example.js,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist
index.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,9 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist/index.d.ts,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist
index.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,27 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist/index.js,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist
shell.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,3 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist/shell.d.ts,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist
shell.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,11 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist/shell.js,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist
tool.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,2 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist/tool.d.ts,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist
tool.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,92 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist/tool.js,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist
tui.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,18 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist/tui.d.ts,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist
tui.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,480 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist/tui.js,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/plugin/dist
sdk,2026-09-06 17:28:04 +0000,2026-09-06 17:28:03 +0000,,Folder,2 bytes,0,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk,@opencode-ai,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk
package.json,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Json,1 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/package.json,sdk,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk
dist,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Folder,12 bytes,0,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist,sdk,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist
client.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,317 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/client.d.ts,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist
client.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,2 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/client.js,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist
error-interceptor.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,776 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/error-interceptor.d.ts,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist
error-interceptor.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,2 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/error-interceptor.js,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist
index.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,302 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/index.d.ts,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist
index.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,419 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/index.js,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist
process.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,223 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/process.d.ts,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist
process.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,1 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/process.js,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist
server.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,565 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/server.d.ts,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist
server.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,3 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/server.js,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist
gen,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Folder,8 bytes,0,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen
client.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,749 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client.gen.d.ts,gen,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen
client.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,211 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client.gen.js,gen,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen
sdk.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,27 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/sdk.gen.d.ts,gen,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen
sdk.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,22 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/sdk.gen.js,gen,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen
types.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,77 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/types.gen.d.ts,gen,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen
types.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,65 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/types.gen.js,gen,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen
client,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Folder,8 bytes,0,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client,gen,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client
client.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,118 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client/client.gen.d.ts,client,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client
client.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,6 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client/client.gen.js,client,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client
index.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,620 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client/index.d.ts,client,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client
index.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,346 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client/index.js,client,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client
types.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,7 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client/types.gen.d.ts,client,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client
types.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,65 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client/types.gen.js,client,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client
utils.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,2 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client/utils.gen.d.ts,client,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client
utils.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,7 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client/utils.gen.js,client,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/client
core,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Folder,16 bytes,0,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core,gen,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
auth.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,546 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/auth.gen.d.ts,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
auth.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,411 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/auth.gen.js,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
bodySerializer.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,776 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/bodySerializer.gen.d.ts,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
bodySerializer.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,2 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/bodySerializer.gen.js,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
params.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,927 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/params.gen.d.ts,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
params.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,3 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/params.gen.js,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
pathSerializer.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,1 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/pathSerializer.gen.d.ts,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
pathSerializer.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,4 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/pathSerializer.gen.js,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
queryKeySerializer.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,705 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/queryKeySerializer.gen.d.ts,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
queryKeySerializer.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,3 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/queryKeySerializer.gen.js,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
serverSentEvents.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,2 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/serverSentEvents.gen.d.ts,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
serverSentEvents.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,5 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/serverSentEvents.gen.js,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
types.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,3 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/types.gen.d.ts,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
types.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,65 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/types.gen.js,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
utils.gen.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,540 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/utils.gen.d.ts,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
utils.gen.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,2 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core/utils.gen.js,core,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/gen/core
v2,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Folder,9 bytes,0,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/v2,dist,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/v2
client.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,491 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/v2/client.d.ts,v2,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/v2
client.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,3 KB,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/v2/client.js,v2,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/v2
data.d.ts,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Mpeg-2 Transport Stream,281 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/v2/data.d.ts,v2,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/v2
data.js,2026-09-06 17:28:04 +0000,2026-09-06 17:28:04 +0000,,Javascript,527 bytes,1,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/v2/data.js,v2,/Users/pq/aikagan-web/.opencode/node_modules/@opencode-ai/sdk/dist/v2
